t,omega_R,omega_L,u,omega
20.111,1.797,1.7975,0.17972500000000002,-0.00012500000000004174
20.2111,1.7503,1.7507,0.17505,-9.999999999998899e-05
20.3106,1.7039,1.7044,0.17041499999999998,-0.00012499999999998623
20.4108,1.658,1.6585,0.165825,-0.00012500000000004174
20.5109,1.6127,1.6131,0.16129000000000002,-9.999999999998899e-05
20.6144,1.5679,1.5683,0.15681,-9.999999999998899e-05
20.711,1.5237,1.5241,0.15239000000000003,-9.999999999998899e-05
20.8107,1.4802,1.4806,0.14804,-9.999999999998899e-05
20.9105,1.4374,1.4378,0.14376,-9.999999999998899e-05
21.0106,1.3954,1.3957,0.139555,-7.499999999999174e-05
21.1153,1.3541,1.3544,0.135425,-7.499999999999174e-05
21.2108,1.3136,1.3139,0.13137500000000002,-7.499999999999174e-05
21.3103,1.2739,1.2742,0.127405,-7.499999999999174e-05
21.4108,1.235,1.2353,0.123515,-7.499999999999174e-05
21.511,1.197,1.1973,0.11971500000000002,-7.499999999999174e-05
21.6107,1.1599,1.1601,0.11599999999999999,-4.999999999999449e-05
21.7107,1.1236,1.1238,0.11237,-4.999999999999449e-05
21.8106,1.0882,1.0884,0.10883000000000001,-4.999999999999449e-05
21.9106,1.0537,1.0539,0.10538000000000002,-4.999999999999449e-05
22.0108,1.0201,1.0203,0.10202,-4.999999999999449e-05
22.1102,0.9873,0.9875,0.09874000000000001,-5.0000000000022256e-05
22.2126,0.9554,0.9556,0.09555000000000001,-4.999999999999449e-05
22.3105,0.9244,0.9245,0.092445,-2.4999999999997247e-05
22.4106,0.8942,0.8944,0.08943000000000001,-4.999999999999449e-05
22.5102,0.8649,0.865,0.086495,-2.4999999999997247e-05
22.6106,0.8364,0.8366,0.08365,-4.999999999999449e-05
22.7106,0.8087,0.8089,0.08088000000000001,-4.999999999999449e-05
22.8107,0.7819,0.782,0.07819500000000001,-2.4999999999997247e-05
22.9107,0.7559,0.756,0.07559500000000001,-2.4999999999997247e-05
23.0105,0.7306,0.7307,0.073065,-2.4999999999997247e-05
23.1104,0.7061,0.7062,0.07061500000000001,-2.5000000000025002e-05
23.211,0.6824,0.6825,0.068245,-2.4999999999997247e-05
23.3105,0.6594,0.6595,0.065945,-2.4999999999997247e-05
23.4106,0.6371,0.6372,0.06371500000000001,-2.4999999999997247e-05
23.511,0.6155,0.6156,0.061555000000000006,-2.4999999999997247e-05
23.6105,0.5946,0.5947,0.059465000000000004,-2.4999999999997247e-05
23.7108,0.5744,0.5745,0.057445,-2.4999999999997247e-05
23.8111,0.5548,0.5549,0.055485,-2.4999999999997247e-05
23.9107,0.5358,0.5359,0.05358500000000001,-2.4999999999997247e-05
24.0104,0.5175,0.5176,0.051754999999999995,-2.4999999999997247e-05
24.1107,0.4998,0.4999,0.049985,-2.4999999999997247e-05
24.2108,0.4826,0.4827,0.048265,-2.5000000000011128e-05
24.3105,0.466,0.4661,0.04660500000000001,-2.4999999999997247e-05
24.4106,0.45,0.4501,0.045005,-2.4999999999997247e-05
24.511,0.4345,0.4346,0.043455,-2.4999999999997247e-05
24.6105,0.4195,0.4196,0.041955,-2.4999999999997247e-05
24.7105,0.405,0.4051,0.040505000000000006,-2.4999999999997247e-05
24.8102,0.3911,0.3911,0.039110000000000006,0.0
24.9158,0.3775,0.3776,0.037755000000000004,-2.4999999999997247e-05
25.0155,-8.5909,3.589,-0.25009499999999996,-3.044975
25.1111,-8.6303,5.7363,-0.14470000000000002,-3.59165
25.2111,-7.6931,7.5122,-0.009045000000000015,-3.8013250000000003
25.3111,-5.692,8.295,0.13015,-3.49675
25.4116,-3.1955,7.9417,0.23731000000000002,-2.7843
25.5112,-0.9844,6.9542,0.29849000000000003,-1.98465
25.611,0.588,5.9075,0.32477500000000004,-1.329875
25.711,1.5819,5.061,0.332145,-0.869775
25.811,2.1747,4.4422,0.330845,-0.5668749999999999
25.9108,2.5142,4.0019,0.325805,-0.37192499999999995
26.0111,2.6977,3.6858,0.319175,-0.24702499999999994
26.1112,2.7852,3.4521,0.31186500000000006,-0.166725
26.211,2.8129,3.2721,0.30425,-0.11480000000000001
26.3116,2.8032,3.1272,0.29652000000000006,-0.08100000000000007
26.4117,2.7697,3.0053,0.28875,-0.05890000000000006
26.5111,2.7211,2.8985,0.28098,-0.04435
26.6111,2.6629,2.802,0.273245,-0.034775
26.7111,2.5986,2.7125,0.265555,-0.028475000000000028
26.8109,2.5308,2.628,0.25794,-0.02429999999999999
26.9113,2.4608,2.5473,0.250405,-0.021625000000000005
27.0117,2.3898,2.4695,0.24296500000000001,-0.01992499999999997
27.1109,2.3185,2.394,0.23562500000000003,-0.018875000000000086
27.2107,2.2475,2.3206,0.22840500000000002,-0.01827500000000004
