t,omega_R,omega_L,u,omega,x,y,psi
14.3116,0.0368,0.0204,0.00286,0.0040999999999999,0.9831485821316293,1.005044190401579,0.9425320074999994
14.4107,0.0356,0.0196,0.00276,0.004,0.9832822908596701,1.005297376403725,0.9429383174999995
14.5104,0.0344,0.0188,0.00266,0.0039,0.9834116559758891,1.0055434957054663,0.9433371174999995
14.6125,0.0332,0.018,0.0025599999999999,0.0038,0.9835388670061458,1.005786727820817,0.9437353074999995
14.7112,0.0321,0.0173,0.00247,0.0036999999999999,0.9836567560188437,1.0060133376624063,0.9441103674999994
14.8106,0.031,0.0165,0.002375,0.0036249999999999,0.983770954131892,1.0062337701930915,0.9444781474999995
14.9102,0.03,0.0159,0.0022949999999999,0.0035249999999999,0.9838803596906603,1.006446584424842,0.9448391974999995
15.0109,-6.738,1.3327,-0.270265,-2.017675,0.9839869921324126,1.0066546703589383,0.9451941649999994
15.1107,-7.2611,2.7852,-0.2237949999999999,-2.511575,0.9845150957688632,0.9729989358145521,0.7438301999999992
15.2104,-7.5007,4.4215,-0.15396,-2.98055,0.9850510074282212,0.9394642367062812,0.4934261724999984
15.3109,-7.1781,5.988,-0.0595049999999999,-3.291525,0.9856115646342729,0.9057541105800353,0.1938808974999976
15.4109,-6.0948,7.0926,0.0498899999999999,-3.29685,0.9861142863329754,0.8723090899684981,-0.13527160250000125
15.5108,-4.3621,7.43,0.153395,-2.948025,0.9866110998487326,0.839002292206387,-0.46462691750000085
15.6116,-2.418,7.0497,0.2315849999999999,-2.366925,0.9871186849137914,0.8055079851560114,-0.7617878374999996
15.7155,-0.7074,6.2985,0.279555,-1.751475,0.9875557543236076,0.771105118962197,-1.0077113450000024
15.8112,0.5799,5.5112,0.304555,-1.2328249999999998,0.9876628279425038,0.739534793786603,-1.1753275025000005
15.9109,1.4692,4.8515,0.316035,-0.8455750000000001,0.9880177562250346,0.7067791861664421,-1.298240155000001
16.0105,2.0592,4.3523,0.320575,-0.5732749999999999,0.9883801634410456,0.674196914016475,-1.3824594250000013
16.1109,2.4436,3.9916,0.32176,-0.387,0.9887522486012512,0.6415027152643993,-1.4400162350000016
16.2109,2.6913,3.7358,0.321355,-0.2611249999999999,0.9891112919362162,0.6090968058668285,-1.4787162350000007
16.3107,2.8489,3.5544,0.320165,-0.1763749999999999,0.9894652549037518,0.5769218183902365,-1.5047765100000012
